NAME,ASINS,TIME,RATING,URL,REVIEW_SUMMARY,FULL_REVIEW
Placeholder,B0C7C1DRK5,Reviewed in India on 7 November 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFQPN3CPOBY6WJ4SXH4TVB7VL7LQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Awesome phone at reasonable price ,it's a Monster","Super phone at affordable price
1- touch of the phone is very good its very feeling n you can feel that you are using most expensive phone on usage
2- very easy to operate as always Android
3- Battery performance is superb once it's fully charged it will stay for a day
4- Saw some feedback stating phone gets hanged n battery drains fast which is not TRUE as everyone shares there own version 😀 even I am doing the same post using the phone which is superb
5- As always samsung processors are always good and gives high performance
6- this Samsung phone 50 Megapixel camera is far better then that of Chinese models like Oneplus , OPPO and VIVO bcoz they are offering 108 , 64, etc megapixels but can't match Samsung camera this time of this phone especially
7- touch censors are really of very high quality this time round which is also a added bonus

8- And many Samsung features which is a plus point with NFC enabled which others phones don't offer

9- All n all really good phone at such a reasonable price

So go for it as it's Samsung brand not a Chinese phone n gives software updates till 5 years"
Dhaval C,B0C7C1DRK5,Reviewed in India on 11 November 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEDWYA2PKSBXYIELDUGLVVEI3NGA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Definitely big contender under 16500 category,"Samsung Phone arrived in a secure packaging 📦

The phone looks and feels good not to big or not too small in hands L & W, weight is perfect for me , its slim too, the back side is slippery put a back cover soon
Box comes without a charging brick only a wire and few papers

Setting up new phone was a bliss 😊 no issues
at all even transferring apps photos contacts data and WhatsApp from iPhone to android works great

Quality is top notch 👌 - Display is bright indoor and outdoor, touch & scrolling is good 👍 and fast as it's new phone

Camera app is good doesn't hang takes photos quickly, photos quality is natural

Charging takes almost 2 hours with a pd ambrane charger 20 watts , Some bloatware apps which can be deleted

Size is perfect for my liking 👍

Samsung is Definately a must buy instead of Chinese phones"
Pradeepa,B0C7C1DRK5,Reviewed in India on 8 November 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGTIYYHO42BWGSYRH6KFHOUTPGBA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good phone if you love Samsung,"This is my review after 3 days of usage bought this for 16999 + charger + mobile case =18082

Pro:
Camera is good but not excellent
One UI is excellent
Performance is excellent
5G speed super excellent
Great service by Amazon
Easy to use
It suitable for long-term use as it as 8gb ram and 128gb rom

Cons:
Charger is missing
Battery drain fast in 5G
Charging time 2 hrs almost (90 min as per specifications)
Plastic Body
Little heavy compared to my previous samsung galaxy m30s
It doesn't support 4k videos in YouTube, maximum support capability is 1080p
Some pre-built un wanted applications
It doesn't have dedicated memory card slot

I purchased this as I am using Samsung m30s since 2019, after 4 years and till date it's in excellent condition so, samsung smart phone good for long term use."
Placeholder,B0C7C1DRK5,Reviewed in India on 5 November 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGJ2IBGA3XSDHO6YCSGFMJHMBOEA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Good phone for this price,"The Samsung M34 5G is good. I saw many negative reviews on the review section and a bit worried to order. Since I had faith in Samsung products, I ordered this phone and got it delivered the next day. I am writing this review after using for a week. It does not overheat as many complained. I am a basic user installed only required apps and no gaming apps. It works faster and has many features which needs time to learn and use it. Camera Quality is good for this price. it supports true 5G means, the speed can be up to 1mbps. Thank you Seller and Thank you Samsung for making me afford this phone (Samsung M34 5G)"
SahaD,B0C7C1DRK5,Reviewed in India on 29 October 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGNHXCL2RV2DJ63ZBW4BNVRKXELA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Samsung Galaxy M34 5G 8GB 256GB,"The first thing discernible was the phone getting heated during charging. It charged sufficiently fast though. The Super AmoLED display is smooth and the graphic colors are good with the display sharp and crisp. I'm not a gamer and hence will not comment on its gaming performance. The front and rear OIS camera photos are natural but a tad lower in clarity and quality than my previous phone Samsung Galaxy M21. The speakers on the contrary produce crisp clear sound to stand out. As Samsung has promised four years of Android OS updates, I opted for the 8 GB RAM. With a120Hz refresh rate, this 5G phone is overall a good buy at this price range."
Ketan Pandey,B0C7C1DRK5,Reviewed in India on 10 August 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFZES5QS4GQ3ZPOJSU7YGMRZFCZQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"A Game-Changer in Connectivity, Budget and Performance!","The display quality on the Samsung M34 is simply stunning. The large AMOLED screen with its vibrant colors and impressive resolution brings my content to life in ways I never thought possible. Whether I'm watching movies or simply browsing the web, the immersive visuals make every activity a joy.

Performance-wise, the Samsung M34 5G is an absolute powerhouse. The combination of a robust processor, ample RAM, and optimized software results in smooth and snappy performance across the board. Apps launch in an instant, and multitasking is effortless, even when juggling multiple resource-intensive applications.

The camera system on the Samsung M34 5G is a photography enthusiast's dream. The advanced sensors and intelligent software algorithms consistently capture stunning images with impeccable detail and color accuracy. From well-lit landscapes to challenging low-light situations, this smartphone delivers outstanding results every time.

One of the standout features for me is the battery life. Despite its powerful performance and energy-intensive 5G capabilities, the Samsung M34 5G manages to keep up with my busy lifestyle effortlessly. I can go through an entire day of heavy usage without worrying about constantly needing to recharge.

The sleek and modern design of the Samsung M34 5G is the icing on the cake. The slim profile, premium materials, and attention to detail showcase Samsung's commitment to both aesthetics and functionality. Holding this phone in my hand feels like holding a piece of the future.

Speakers are sharp and well-built which produce sharp sound quality.
Slow charging is a myth. I can see it's getting charged little faster than people are telling in reviews.

Good those who are comfortable in side-mount fingerprint sensor than the in-display fingerprint.

As it has 4 years of Android OS updates then recommended to opt for 8 GB RAM.

I couldn't find a phone which has:
Super Amoled Bright display.
6000 mAh battery.
50MP OIS camera.
120hz Refresh Rate.
4 years of OS updates
Decent chipset for multi-tasking.
5G with several bands.

In conclusion, the Samsung M34 5G is an absolute marvel of technology and innovation. It's redefined what I expect from a smartphone, and I couldn't be happier with my purchase. From its lightning-fast 5G connectivity and stunning display to its top-tier performance and exceptional camera capabilities, the Samsung M34 5G truly raises the bar for what a smartphone can achieve. If you're looking for a device that seamlessly integrates into your connected lifestyle and delivers an unparalleled user experience, look no further than the Samsung M34 5G."
Akash,B0C7C1DRK5,Reviewed in India on 24 October 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHVV3A56NOQR7KYDI3ZHYHGP7XHQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,A very decent rich phone,First of all I want to say about its display it has a very bright peak brightness clean display which we look for it when we are seeing videos in Amazon prime video it looks like an in theatre 🔥and the camera whatt a camera samasung was brought every pic is a goose bumps and the Exynos 1280 processor is very fast and for multitasking it is very fast because of 8 cores and the sound was very natural speaker and fingerprint was very fast and operating system is very speed and it is way to use and service was very good
Placeholder,B0C7C1DRK5,Reviewed in India on 25 October 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AG2USGGQOQROSFVJ6ZXPH4SHIHRQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Very good value for money phone,I am a verh techy guy before this I usef iqoo z7 and this is my second under budget phone . First thing the pure one ui is available so it is a verh good part and with a large battery which is just easily goes whole 1 day and the other day morning. The camera is just awesome . Just a small compromise for the processor and is you can compromise a bit then you shoukd get thus phone .
Placeholder,B0C7C1DRK5,Reviewed in India on 30 October 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHILGNM26YQIT4LFUMANUHYSTB6A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Best phone under 17000₹.,"Believe me guys if you can ignore the notch then this is the best phone under 17000. Camera quality is 10/10
Display 10/10
Battery backup 9/10
Processor 8.5/10
Overall 9/10
Exynos 1280 is a good Processor. And camera is speechless 😶.
5g is also good. It gives me 550-850 mbps.
Just go for it.
Processor is good. It never give any lag in normal tasks. In gaming it can easily give 40-50 fps in ginshin impact(lowest)"
Amanat Hussain,B0C7C1DRK5,Reviewed in India on 18 October 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHW333JH222RVSCOO2I6OL2AVZRA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Best Under 17K,"The best phone under 17K with best features.......the camera is so good....other phones at this price range can't deliver gorgeous pictures like Samsung M34 😍
Best buy under 17k.
•However the processor is not that powerful........*not for gaming* even it can't play Minecraft 1.20 smoothly there are some lag while playing......the phone gets heated while doing some heavy task.
But you can enjoy playing Call Of Duty Mobile at High Graphics 😉
•The phone feels little bit heavy...208g but it is comfortable use."
